# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0410"(3D electron microscopy)	Mannar D. et al.(2021)	intact:EBI-28955885|pubmed:34914928|imex:IM-29407	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-28965353|emdb:EMD-25509|wwpdb:7SXX|imex:IM-29407-3	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0892"(solid phase assay)	Amraei R. et al.(2021)	intact:EBI-27062798|pubmed:34341769|imex:IM-29167	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27069133|imex:IM-29167-9	-
uniprotkb:P0DTC9	uniprotkb:P0DTC9	intact:EBI-25475856|uniprotkb:P0DTC9	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0069"(mass spectrometry studies of complexes)	Lutomski CA. et al.(2021)	intact:EBI-27077058|pubmed:34462738|imex:IM-29202	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27085312|imex:IM-29202-33	-
uniprotkb:P0DTC9	uniprotkb:Q13283	intact:EBI-25475856|uniprotkb:P0DTC9	ensembl:ENSP00000348578.3|ensembl:ENSP00000377681.3|ensembl:ENSP00000430480.2|ensembl:ENSP00000502880.1|ensembl:ENSP00000503039.1|ensembl:ENSP00000503699.1|ensembl:ENSP00000503939.1|ensembl:ENSP00000504140.1|ensembl:ENSP00000504627.1|intact:EBI-1384154|uniprotkb:Q5HYE9|intact:EBI-1047359|uniprotkb:Q13283	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:g3bp1_human(display_short)|psi-mi:Ras GTPase-activating protein-binding protein 1(display_long)|uniprotkb:G3BP1(gene name)|uniprotkb:GAP SH3 domain-binding protein 1(gene name synonym)|uniprotkb:ATP-dependent DNA helicase VIII(gene name synonym)|uniprotkb:G3BP(gene name synonym)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Huang W. et al.(2021)	intact:EBI-27070370|pubmed:34400613|imex:IM-29175	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27071460|imex:IM-29175-11	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Prévost J. et al.(2021)	intact:EBI-27085566|pubmed:34478710|imex:IM-29217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27086899|imex:IM-29217-5	-
uniprotkb:P0DTC9	uniprotkb:P0DTC9	intact:EBI-25475856|uniprotkb:P0DTC9	intact:EBI-25475856|uniprotkb:P0DTC9	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:"MI:0069"(mass spectrometry studies of complexes)	Lutomski CA. et al.(2021)	intact:EBI-27077058|pubmed:34462738|imex:IM-29202	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27084825|imex:IM-29202-3	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Ye F. et al.(2021)	intact:EBI-27091816|pubmed:34531369|imex:IM-29350	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27096573|imex:IM-29350-21	-
uniprotkb:P0DTC9	uniprotkb:Q13283	intact:EBI-25475856|uniprotkb:P0DTC9	ensembl:ENSP00000348578.3|ensembl:ENSP00000377681.3|ensembl:ENSP00000430480.2|ensembl:ENSP00000502880.1|ensembl:ENSP00000503039.1|ensembl:ENSP00000503699.1|ensembl:ENSP00000503939.1|ensembl:ENSP00000504140.1|ensembl:ENSP00000504627.1|intact:EBI-1384154|uniprotkb:Q5HYE9|intact:EBI-1047359|uniprotkb:Q13283	psi-mi:ncap_sars2(display_short)|psi-mi:Nucleoprotein(display_long)|uniprotkb:N(gene name)|uniprotkb:Nucleocapsid protein(gene name synonym)	psi-mi:g3bp1_human(display_short)|psi-mi:Ras GTPase-activating protein-binding protein 1(display_long)|uniprotkb:G3BP1(gene name)|uniprotkb:GAP SH3 domain-binding protein 1(gene name synonym)|uniprotkb:ATP-dependent DNA helicase VIII(gene name synonym)|uniprotkb:G3BP(gene name synonym)	psi-mi:"MI:0096"(pull down)	Huang W. et al.(2021)	intact:EBI-27070370|pubmed:34400613|imex:IM-29175	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27071424|imex:IM-29175-9	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Upadhyay V. et al.(2021)	intact:EBI-27091509|pubmed:34543625|imex:IM-29245	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27095692|imex:IM-29245-1	-
uniprotkb:P0DTC2	uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:"MI:0107"(surface plasmon resonance)	Ye F. et al.(2021)	intact:EBI-27091816|pubmed:34531369|imex:IM-29350	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27098526|imex:IM-29350-13	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0969"(bio-layer interferometry)	Gong SY. et al.(2021)	intact:EBI-27091526|pubmed:34536797|imex:IM-29247	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27096031|imex:IM-29247-1	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0969"(bio-layer interferometry)	Prévost J. et al.(2021)	intact:EBI-27085566|pubmed:34478710|imex:IM-29217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27087005|imex:IM-29217-15	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0969"(bio-layer interferometry)	Lorenzo R. et al.(2021)	intact:EBI-27085559|pubmed:34499924|imex:IM-29220	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27087143|imex:IM-29220-1	-
uniprotkb:Q9BYF1	uniprotkb:P59594	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-16063777|uniprotkb:Q6QU82|uniprotkb:Q7T696|uniprotkb:Q7TA19|uniprotkb:Q7TFA2|uniprotkb:Q7TFB1|uniprotkb:Q80BV6|intact:EBI-15582614|uniprotkb:P59594	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Ye F. et al.(2021)	intact:EBI-27091816|pubmed:34531369|imex:IM-29350	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:694009(sars-cov)|taxid:694009(Human SARS coronavirus)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27096876|imex:IM-29350-1	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0969"(bio-layer interferometry)	Prévost J. et al.(2021)	intact:EBI-27085566|pubmed:34478710|imex:IM-29217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27086947|imex:IM-29217-9	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Ye F. et al.(2021)	intact:EBI-27091816|pubmed:34531369|imex:IM-29350	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27097705|imex:IM-29350-7	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0107"(surface plasmon resonance)	Raghu D. et al.(2021)	intact:EBI-27091493|pubmed:34545316|imex:IM-29240	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27092998|imex:IM-29240-1	-
uniprotkb:Q9BYF1	uniprotkb:P0DTC2	intact:EBI-25767352|uniprotkb:Q9UFZ6|uniprotkb:Q9NRA7|intact:MINT-4538816|uniprotkb:C7ECU1|uniprotkb:Q6UWP0|uniprotkb:Q86WT0|uniprotkb:A0A7D6JAD5|ensembl:ENSP00000252519.3|ensembl:ENSP00000389326.1|ensembl:ENSP00000504103.1|ensembl:ENSP00000505992.1|intact:EBI-15814450|intact:EBI-7730807|uniprotkb:Q9BYF1	intact:EBI-25474821|uniprotkb:P0DTC2	psi-mi:ace2_human(display_short)|psi-mi:Angiotensin-converting enzyme 2(display_long)|uniprotkb:ACE2(gene name)|uniprotkb:Angiotensin-converting enzyme-related carboxypeptidase(gene name synonym)|uniprotkb:Metalloprotease MPROT15(gene name synonym)|uniprotkb:Angiotensin-converting enzyme homolog(gene name synonym)|uniprotkb:UNQ868/PRO1885(orf name)	psi-mi:spike_sars2(display_short)|psi-mi:Spike glycoprotein(display_long)|uniprotkb:S(gene name)|uniprotkb:2(orf name)|uniprotkb:Peplomer protein(gene name synonym)|uniprotkb:E2(gene name synonym)	psi-mi:"MI:0065"(isothermal titration calorimetry)	Prévost J. et al.(2021)	intact:EBI-27085566|pubmed:34478710|imex:IM-29217	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:2697049(SARS-CoV-2)|taxid:2697049(SARS-CoV-2)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-27086878|imex:IM-29217-3	-
